,Country Name,Economic Freedom,Democracy Index,Regime Type,Continent
129,Ethiopia,51.7,3.38,Authoritarian,Africa
130,Pakistan,51.7,4.31,Hybrid regime,Asia
131,Mozambique,51.6,3.51,Authoritarian,Africa
132,Lebanon,51.4,4.16,Hybrid regime,Asia
133,Haiti,50.8,4.22,Hybrid regime,North America
134,Nepal,50.7,5.22,Hybrid regime,Asia
135,Chad,50.4,1.55,Authoritarian,Africa
136,Zambia,50.4,4.86,Hybrid regime,Africa
137,Burundi,49.9,2.14,Authoritarian,Africa
138,Algeria,49.7,3.77,Authoritarian,Africa
139,Equatorial Guinea,49.2,1.92,Authoritarian,Africa
140,Liberia,49.2,5.32,Hybrid regime,Africa
141,Central African Republic,48.8,1.32,Authoritarian,Africa
142,Iran,47.2,2.2,Authoritarian,Asia
143,Suriname,46.4,6.82,Flawed democracy,South America
144,Bolivia,42.7,5.08,Hybrid regime,South America
145,Eritrea,42.3,2.15,Authoritarian,Africa
146,Zimbabwe,39.5,3.16,Authoritarian,Africa
147,Sudan,39.1,2.54,Authoritarian,Africa
148,Cuba,28.1,2.84,Authoritarian,North America
149,Venezuela,24.7,2.76,Authoritarian,South America
150,North Korea,5.2,1.08,Authoritarian,Asia
151,Democratic Republic of the Congo,49.0,1.13,Authoritarian,Africa
152,Syria,49.0,1.43,Authoritarian,Asia
